category,item_name,size,price,ingredients,allergens,tags,description
Coffee,Drip Coffee,Small,2.25,coffee,,"hot;basic","Freshly brewed medium roast."
Coffee,Drip Coffee,Medium,2.75,coffee,,"hot;basic","Freshly brewed medium roast."
Coffee,Drip Coffee,Large,3.25,coffee,,"hot;basic","Freshly brewed medium roast."
Espresso,Espresso,Single,2.75,espresso,,"strong;caffeine","Single-shot espresso with rich crema."
Espresso,Espresso,Double,3.50,espresso,,"strong;caffeine","Double-shot espresso."
Espresso,Americano,12 oz,3.50,"espresso; water",,"hot;light-body","Espresso topped with hot water."
Espresso,Americano,16 oz,3.95,"espresso; water",,"hot;light-body","Espresso topped with hot water."
Espresso,Latte,12 oz,4.50,"espresso; milk",dairy,"creamy;popular","Smooth espresso with steamed milk and light foam."
Espresso,Latte,16 oz,5.00,"espresso; milk",dairy,"creamy;popular","Smooth espresso with steamed milk and light foam."
Espresso,Cappuccino,12 oz,4.50,"espresso; milk",dairy,"foam;classic","Equal parts espresso, steamed milk, and foam."
Espresso,Flat White,8 oz,4.25,"espresso; milk",dairy,"velvety","Rich espresso with micro-foamed milk."
Espresso,Macchiato,3 oz,3.25,"espresso; milk",dairy,"small;bold","Espresso marked with a dollop of foam."
Espresso,Mocha,12 oz,4.95,"espresso; milk; cocoa",dairy,"chocolate;sweet","Chocolate, espresso, and steamed milk."
Espresso,Mocha,16 oz,5.45,"espresso; milk; cocoa",dairy,"chocolate;sweet","Chocolate, espresso, and steamed milk."
Espresso,Cortado,4 oz,3.95,"espresso; milk",dairy,"balanced","Equal parts espresso and warm milk."
Espresso,Affogato,,5.25,"espresso; vanilla ice cream",dairy,"dessert","Vanilla ice cream topped with hot espresso."
Cold Coffee,Cold Brew,12 oz,4.25,"coffee; water",,"cold;smooth","Slow-steeped, extra smooth."
Cold Coffee,Cold Brew,16 oz,4.75,"coffee; water",,"cold;smooth","Slow-steeped, extra smooth."
Cold Coffee,Nitro Cold Brew,12 oz,5.25,"coffee; water; nitrogen",,"nitro;creamy","Nitro-infused for a creamy texture."
Cold Coffee,Iced Coffee,16 oz,3.95,"coffee; ice",,"cold;refreshing","Chilled brewed coffee over ice."
Cold Coffee,Iced Latte,16 oz,5.00,"espresso; milk; ice",dairy,"cold;creamy","Espresso with cold milk over ice."
Cold Coffee,Iced Mocha,16 oz,5.45,"espresso; milk; cocoa; ice",dairy,"cold;chocolate","Chocolatey iced latte."
Flavored,Vanilla Latte,12 oz,4.95,"espresso; milk; vanilla syrup",dairy,"sweet","Espresso with vanilla-infused steamed milk."
Flavored,Vanilla Latte,16 oz,5.45,"espresso; milk; vanilla syrup",dairy,"sweet","Espresso with vanilla-infused steamed milk."
Flavored,Caramel Latte,12 oz,4.95,"espresso; milk; caramel syrup",dairy,"sweet","Espresso with buttery caramel syrup."
Flavored,Caramel Latte,16 oz,5.45,"espresso; milk; caramel syrup",dairy,"sweet","Espresso with buttery caramel syrup."
Flavored,Hazelnut Latte,12 oz,4.95,"espresso; milk; hazelnut syrup",dairy,"nutty;sweet","Espresso with hazelnut syrup."
Specialty,Chai Latte,12 oz,4.75,"black tea; spices; milk",dairy,"spiced;warming","Masala chai with steamed milk."
Specialty,Chai Latte,16 oz,5.25,"black tea; spices; milk",dairy,"spiced;warming","Masala chai with steamed milk."
Specialty,Dirty Chai,12 oz,5.25,"black tea; spices; milk; espresso",dairy,"caffeinated;spiced","Chai latte with a shot of espresso."
Specialty,Matcha Latte,12 oz,5.25,"matcha; milk; sugar",dairy,"green-tea;popular","Ceremonial-grade matcha whisked with milk."
Specialty,Golden Latte,12 oz,5.00,"turmeric; ginger; milk; honey",dairy,"anti-inflammatory","Turmeric latte with ginger and honey."
Specialty,London Fog,12 oz,4.75,"earl grey tea; vanilla syrup; milk",dairy,"tea-latte","Earl Grey with vanilla and steamed milk."
Specialty,Hot Chocolate,12 oz,3.95,"cocoa; milk; sugar",dairy,"kid-friendly;sweet","Classic hot chocolate."
Specialty,Hot Chocolate,16 oz,4.45,"cocoa; milk; sugar",dairy,"kid-friendly;sweet","Classic hot chocolate."
Tea,English Breakfast,12 oz,2.95,"black tea; water",,"hot;caffeinated","Robust black tea."
Tea,Earl Grey,12 oz,2.95,"black tea; bergamot; water",,"hot;citrus","Black tea with bergamot."
